SITE,SPECIES,TOTAL_LENGTH,MERCURY
LakeA,NRPK,218,0.34
LakeA,NRPK,300,0.32
LakeA,NRPK,488,0.32
LakeA,NRPK,531,0.46
LakeA,NRPK,596,0.31
LakeA,NRPK,643,0.44
LakeA,NRPK,649,0.7
LakeA,NRPK,702,1.65
LakeA,NRPK,746,1.14
LakeA,NRPK,960,1.43
LakeA,WALL,263,0.42
LakeA,WALL,308,0.34
LakeA,WALL,330,0.36
LakeA,WALL,431,0.51
LakeA,WALL,471,0.9
LakeA,WALL,509,0.46
LakeA,WALL,520,1.47
LakeA,WALL,533,1.84
LakeA,WALL,563,1.66
LakeA,WALL,565,1.22
LakeB,NRPK,217,0.04
LakeB,NRPK,252,0.13
LakeB,NRPK,429,0.13
LakeB,NRPK,506,0.17
LakeB,NRPK,515,0.33
LakeB,NRPK,592,0.28
LakeB,NRPK,639,0.43
LakeB,NRPK,687,0.82
LakeB,NRPK,743,0.82
LakeB,NRPK,973,1.38
LakeB,WALL,223,0.18
LakeB,WALL,223,0.17
LakeB,WALL,428,0.11
LakeB,WALL,445,0.15
LakeB,WALL,465,0.65
LakeB,WALL,468,0.59
LakeB,WALL,471,0.92
LakeB,WALL,607,0.75
LakeB,WALL,615,1.39
LakeB,WALL,620,1.58
